Time,Temperature_C,Pressure_hPa
02:20:52.631,31.75,979.55
02:20:54.585,32.09,979.59
02:20:54.650,32.09,979.59
02:20:56.620,32.07,979.58
02:20:56.653,32.07,979.58
02:20:58.644,32.09,979.57
02:20:58.677,32.09,979.57
02:21:00.651,32.09,979.59
02:21:00.684,32.09,979.59
02:21:02.668,32.12,979.6
02:21:02.700,32.12,979.6
02:21:04.695,32.09,979.58
02:21:04.728,32.09,979.58
02:21:06.723,32.07,979.57
02:21:06.756,32.07,979.57
02:21:08.706,32.1,979.57
02:21:08.771,32.1,979.57
02:21:10.737,32.06,979.55
02:21:10.770,32.06,979.55
02:21:12.753,32.04,979.57
02:21:12.818,32.04,979.57
02:21:14.793,32.09,979.58
02:21:14.825,32.09,979.58
02:21:16.783,32.06,979.61
02:21:16.849,32.06,979.61
02:21:18.799,32.04,979.57
02:21:18.864,32.04,979.57
02:21:20.845,32.02,979.58
02:21:20.880,32.02,979.58
02:21:22.866,32.06,979.56
02:21:22.899,32.06,979.56
02:21:24.882,32.05,979.56
02:21:24.914,32.05,979.56
02:21:26.877,32.03,979.56
02:21:26.942,32.03,979.56
02:21:28.920,32.01,979.58
02:21:28.954,32.01,979.58
02:21:30.907,32.01,979.61
02:21:30.973,32.01,979.61
02:21:32.948,32.02,979.56
02:21:32.984,32.02,979.56
02:21:34.954,32.02,979.56
02:21:35.020,32.02,979.56
02:21:36.970,32.03,979.57
02:21:37.035,32.03,979.57
02:21:38.982,32.08,979.59
02:21:39.047,32.08,979.59
02:21:41.021,32.07,979.57
02:21:41.054,32.07,979.57
02:21:43.031,32.06,979.56
02:21:43.065,32.06,979.56
02:21:45.057,32.04,979.57
02:21:45.093,32.04,979.57
02:21:47.088,32.04,979.55
02:21:47.120,32.04,979.55
02:21:49.079,32.02,979.57
02:21:49.144,32.02,979.57
02:21:51.110,32.08,979.56
02:21:51.143,32.08,979.56
02:21:53.134,32.04,979.54
02:21:53.166,32.04,979.54
02:21:55.132,32.02,979.54
02:21:55.198,32.02,979.54
02:21:57.148,32.06,979.56
02:21:57.213,32.06,979.56
02:21:59.176,32.03,979.57
02:21:59.258,32.03,979.57
02:22:01.204,32.03,979.57
02:22:01.237,32.03,979.57
02:22:03.199,32.03,979.54
02:22:03.264,32.03,979.54
02:22:05.234,32.02,979.55
02:22:05.267,32.02,979.55
02:22:07.254,32.06,979.56
02:22:07.286,32.06,979.56
02:22:09.261,32.0,979.57
02:22:09.326,32.0,979.57
02:22:11.293,32.0,979.59
02:22:11.325,32.0,979.59
02:22:13.292,32.04,979.54
02:22:13.357,32.04,979.54
02:22:15.327,32.06,979.57
02:22:15.360,32.06,979.57
02:22:17.347,32.0,979.55
02:22:17.380,32.0,979.55
02:22:19.375,32.0,979.59
02:22:19.407,32.0,979.59
02:22:21.362,32.07,979.59
02:22:21.426,32.07,979.59
02:22:23.401,31.99,979.6
02:22:23.434,31.99,979.6
02:22:25.420,31.99,979.61
02:22:25.454,31.99,979.61
02:22:27.445,32.05,979.59
02:22:27.477,32.05,979.59
02:22:29.452,32.01,979.59
02:22:29.484,32.01,979.59
02:22:31.483,32.0,979.58
02:22:31.516,32.0,979.58
02:22:32.665,31.99,979.59
02:22:34.121,31.99,979.59
02:22:35.595,32.02,979.58
02:22:36.758,32.0,979.57
02:22:37.831,31.92,979.55
02:22:38.662,31.88,979.55
02:22:39.389,31.82,979.57
02:22:40.322,31.83,979.55
02:22:41.158,31.83,979.53
02:22:42.271,31.81,979.53
02:22:43.091,31.88,979.53
02:22:43.773,31.91,979.51
02:22:44.836,31.84,979.5
02:22:45.895,31.86,979.5
02:22:46.860,31.85,979.5
02:22:47.644,31.83,979.52
02:22:48.747,31.76,979.52
02:22:49.632,31.74,979.53
02:22:50.941,31.77,979.52
02:22:51.848,31.79,979.53
02:22:52.705,31.78,979.52
02:22:53.346,31.81,979.54
02:22:54.324,31.85,979.54
02:22:55.131,31.87,979.56
02:22:56.120,31.93,979.52
02:22:57.367,31.93,979.52
02:22:58.394,31.85,979.52
02:22:59.501,31.91,979.51
02:23:00.259,31.89,979.52
02:23:01.357,31.87,979.53
02:23:02.386,31.91,979.52
02:23:03.288,31.89,979.5
02:23:04.377,31.91,979.5
02:23:05.307,31.85,979.5
02:23:06.204,31.82,979.5
02:23:07.325,31.89,979.5
02:23:08.402,31.89,979.5
02:23:09.394,31.89,979.54
02:23:10.337,31.9,979.54
02:23:10.986,31.95,979.55
02:23:12.223,31.91,979.57
02:23:12.803,31.94,979.6
02:23:13.506,31.91,979.6
02:23:14.354,31.85,979.6
02:23:15.036,31.87,979.59
02:23:16.501,31.84,979.59
02:23:17.745,31.79,979.59
02:23:19.137,31.73,979.59
02:23:20.215,31.76,979.57
02:23:20.819,31.78,979.58
02:23:21.894,31.79,979.57
02:23:22.964,31.8,979.56
02:23:24.523,31.82,979.54
02:23:25.720,31.78,979.55
02:23:27.068,31.75,979.57
02:23:28.192,31.78,979.59
02:23:29.118,31.75,979.58
02:23:29.873,31.75,979.59
02:23:30.956,31.78,979.59
02:23:32.392,31.77,979.63
02:23:33.580,31.74,979.61
02:23:34.725,31.73,979.62
02:23:35.867,31.73,979.61
02:23:36.412,31.71,979.62
02:23:37.477,31.7,979.62
02:23:38.592,31.7,979.63
02:23:39.610,31.7,979.63
02:23:40.778,31.74,979.65
02:23:41.365,31.71,979.65
02:23:42.519,31.73,979.65
02:23:43.690,31.77,979.65
02:23:44.885,31.76,979.65
02:23:45.654,31.75,979.64
02:23:46.678,31.83,979.61
02:23:47.884,31.77,979.61
02:23:49.211,31.77,979.59
02:23:49.996,31.79,979.58
02:23:51.061,31.8,979.57
02:23:52.704,31.82,979.54
02:23:53.760,31.8,979.55
02:23:54.522,31.79,979.56
02:23:55.782,31.74,979.56
02:23:56.640,31.72,979.58
02:23:57.761,31.7,979.6
02:23:59.398,31.74,979.57
02:24:00.253,31.79,979.56
02:24:01.386,31.82,979.55
02:24:02.368,31.74,979.53
02:24:03.292,31.7,979.56
02:24:03.863,31.7,979.56
02:24:05.295,31.7,979.58
02:24:06.298,31.7,979.58
02:24:07.358,31.7,979.59
02:24:08.243,31.7,979.6
02:24:09.718,31.7,979.63
02:24:10.133,31.7,979.64
02:24:11.217,31.7,979.63
02:24:12.069,31.7,979.65
02:24:13.176,31.7,979.65
02:24:14.268,31.73,979.65
02:24:15.020,31.71,979.65
